		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	po_age	po_highest_educ	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	time_to_last_training	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_agency	tr_other_state_police	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	bp_effectiveness	transfer_request	same_home_district	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	marital_status1	marital_status2	marital_status3	marital_status4	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87	po_subcaste88	po_subcaste89	po_subcaste90	po_subcaste91	po_subcaste92	po_subcaste93	po_subcaste94
																																																																																																																																																																																																																																																																																																			
1001b.ps_dist#0b.strata		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)			(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
1001b.ps_dist#1.strata		-0.137	-0.067	0.066	-0.266**	0.042	1.199***	0.382	14.465	0.112	0.000	0.168	0.264	0.027	-0.552**	0.022	0.279**	-0.000	-0.040	-0.011	0.025	-0.250**	3.325*		279.589***	-0.113	-0.002	-0.115	0.437	-0.002	0.435	13.980***	5.215***	19.195***	5.222***	0.249	5.471***	5.132***	-0.001	5.130***	0.096	0.000	0.096	0.125	-0.000	0.125	0.080	0.003	-7.984	-232.878	30.338***	-0.000***	1.000***	-0.154	-0.000	-1.048*	-0.079	-22.107**	-0.343	-0.503	-0.084	-0.724	1.248**	24.726**	-7.942	0.038	0.052	0.026	0.001	-0.189**	0.230**	0.009	0.045	0.027	-0.189**	0.000	0.000	39.795	16.639*	0.504**	1.632	-0.066	-0.180*	0.057	0.039	9.288	-0.005	-0.036	0.049	0.071	-0.141	0.046	0.017	-11.193	-137.917**	-9.544	-25.018	-5.454	33.705	4.780	24.686	-1.242	-3.716	-0.368	0.091	0.082	-0.167	-0.296	8.809	-0.250	-0.077			0.138	-0.025	0.100	9.140	0.155	-0.147	0.304	-0.044		-0.076	0.001	-0.103	-0.145	-0.154**	-0.046	-0.199***	-0.029	-0.049	0.148***	-0.260	-0.008	9.268	9.507	-0.119	-8.175	-0.767**	-0.011	-0.058	-0.034	-0.084	-0.065	0.006	-0.007	-0.019	-0.038*	0.087***	-0.044	-0.012	0.017	0.048	0.039	0.066	0.035	0.021	0.036	-0.055	0.028	0.040			-0.061	0.008	-0.143	9.506	-0.043	-8.530	-0.100	-8.383	18.440*	9.041	-8.377	-0.045	-12.682	-12.604	-0.051	-36.763*	0.257	-0.034	30.707	-8.362	-8.969	-0.133	0.288	0.154	1.884	0.013	-0.048	0.118	-0.095	-0.003	-0.010	0.022	0.074	-0.084	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.014	0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	0.012	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	0.012	0.000	-0.000	0.000	-0.000	-0.003	0.012	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012	0.000	-0.000	0.000	-0.000	-0.014	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.014	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.014	-0.000	-0.000	-0.000	-0.000	-0.000	-0.014
		(0.135)	(0.154)	(0.270)	(0.120)	(0.042)	(0.390)	(5.787)	(12.613)	(0.080)	(0.001)	(0.107)	(0.205)	(0.263)	(0.242)	(0.220)	(0.126)	(0.001)	(0.637)	(0.163)	(0.253)	(0.121)	(1.826)		(80.943)	(0.510)	(0.015)	(0.519)	(0.305)	(0.014)	(0.304)	(2.312)	(1.398)	(2.807)	(1.342)	(0.216)	(1.429)	(1.233)	(0.014)	(1.236)	(0.139)	(0.000)	(0.139)	(0.089)	(0.003)	(0.090)	(0.066)	(0.069)	(13.947)	(157.964)	(5.019)	(0.000)	(0.000)	(0.116)	(0.000)	(0.544)	(0.879)	(10.326)	(0.978)	(0.714)	(0.154)	(0.473)	(0.590)	(11.488)	(7.373)	(0.093)	(0.050)	(0.025)	(0.002)	(0.083)	(0.103)	(0.146)	(0.047)	(0.024)	(0.083)	(0.000)	(0.001)	(40.557)	(9.253)	(0.209)	(1.582)	(0.708)	(0.107)	(0.159)	(0.265)	(9.348)	(0.050)	(0.323)	(0.459)	(0.601)	(0.562)	(0.482)	(0.389)	(17.482)	(59.025)	(34.245)	(79.572)	(26.593)	(20.800)	(16.781)	(24.106)	(21.533)	(13.261)	(0.734)	(0.583)	(0.336)	(0.319)	(0.411)	(9.030)	(0.695)	(0.290)			(0.161)	(0.320)	(0.848)	(9.117)	(0.927)	(1.008)	(0.902)	(1.118)		(0.687)	(0.019)	(0.134)	(0.096)	(0.077)	(0.056)	(0.059)	(0.063)	(0.070)	(0.053)	(0.167)	(0.546)	(9.090)	(8.849)	(0.369)	(6.856)	(0.389)	(0.232)	(0.165)	(0.145)	(0.079)	(0.082)	(0.071)	(0.032)	(0.067)	(0.021)	(0.021)	(0.058)	(0.060)	(0.038)	(0.072)	(0.065)	(0.389)	(0.094)	(0.141)	(0.243)	(0.515)	(0.440)	(0.236)			(0.534)	(0.276)	(0.187)	(8.756)	(1.246)	(8.103)	(0.257)	(7.154)	(10.668)	(9.057)	(6.936)	(0.750)	(9.983)	(11.658)	(0.521)	(21.197)	(0.160)	(0.269)	(30.817)	(8.122)	(6.825)	(0.092)	(0.201)	(0.229)	(15.750)	(0.012)	(0.044)	(0.109)	(0.101)	(0.024)	(0.090)	(0.028)	(0.054)	(0.087)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.013)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.011)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.011)	(0.000)	(0.001)	(0.000)	(0.000)	(0.030)	(0.010)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.011)	(0.000)	(0.000)	(0.000)	(0.000)	(0.014)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.013)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.013)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.013)
1002.ps_dist#0b.strata		-0.204**	-0.402***	-0.079	-0.089	0.043	0.412**	-1.853	-0.517	0.097	0.000	-0.042	-0.018	-0.229	-0.566***	-0.066	-0.013	-0.099*	-1.069*	-0.626***	-0.145	-0.144	-4.779**	0.563***	93.779*	-0.199	-0.005	-0.204	-0.114	0.044	-0.069	-6.252***	-2.392***	-8.645***	-0.369	-0.002	-0.371	-0.273	-0.005	-0.277	-0.040	0.000	-0.040	0.126	-0.001	0.125	-0.147**	0.361***	-21.751*	-56.527	-9.481***	-18.000***	0.000***	0.234*	-0.000	-1.440***	0.593	0.471	0.623	-0.053	0.397***	-0.736	1.104**	22.914**	-13.015	-0.097	0.019	-0.000	0.000	-0.147*	-0.078	0.217	0.053	0.019	-0.057	0.000	0.000	40.208	25.277***	0.614***	2.133	-0.175	-0.169	-5.492	-8.108	1.063	-8.195	-8.280	-16.216	0.164	-0.023	-0.095	0.088	13.740	-37.696	11.923	1.586	28.279	14.411	-2.960	-27.217	-45.334*	-20.971	-8.985	-8.014	-5.555	-5.637	-5.706	3.169	-5.944	-5.669			0.116	0.016	-16.712	0.600	-8.505	-5.763	-5.832	-5.699		-5.729	-0.019	0.041	-0.090	-0.034	0.042	-0.139**	-0.028	-0.137*	0.068	-5.655	-5.689	-7.028	-1.565	-6.356	-5.496	-11.931*	-5.412	-0.154	-0.105	-0.146**	-0.159**	0.175*	0.007	-0.078	-0.016	0.057***	-0.017	-0.039	0.026	0.085	-0.107	-5.452	-10.872	-29.959**	-16.278*	-16.550	-10.971	-19.042*			-0.177	-0.020	-8.406	3.775	-16.681*	-8.282	-8.079	-24.535*	4.748	-4.653	-16.374	-8.294	-14.090	-16.703	-5.636	0.159	0.002	-8.465	31.366	-11.168	-12.333	-0.102	0.179	0.077	-2.925	0.016	-0.004	0.159	-0.171*	0.004	-0.026	-0.011	0.024	0.008	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	-0.000	0.008	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.003	0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	0.008	-0.000	-0.000	0.008	-0.000	-0.000	0.008	0.000	-0.000	0.000	0.008	-0.028	-0.000	-0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.005	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.014	-0.000	0.000	0.008	-0.000	-0.000	0.000	-0.000	0.000	-0.014	-0.000	-0.000	-0.000	0.008	-0.000	-0.014
		(0.093)	(0.136)	(0.160)	(0.148)	(0.042)	(0.168)	(4.180)	(0.673)	(0.082)	(0.001)	(0.146)	(0.195)	(0.156)	(0.152)	(0.161)	(0.167)	(0.059)	(0.594)	(0.134)	(0.142)	(0.143)	(1.866)	(0.207)	(49.336)	(0.421)	(0.017)	(0.421)	(0.198)	(0.048)	(0.199)	(1.595)	(0.850)	(1.852)	(0.616)	(0.006)	(0.616)	(0.922)	(0.013)	(0.926)	(0.043)	(0.000)	(0.043)	(0.090)	(0.002)	(0.090)	(0.063)	(0.038)	(12.201)	(232.305)	(2.810)	(0.000)	(0.000)	(0.122)	(0.000)	(0.269)	(0.878)	(0.654)	(1.068)	(0.624)	(0.132)	(0.502)	(0.504)	(8.987)	(9.427)	(0.064)	(0.020)	(0.002)	(0.001)	(0.085)	(0.067)	(0.161)	(0.057)	(0.020)	(0.104)	(0.000)	(0.000)	(40.200)	(7.472)	(0.235)	(1.570)	(0.474)	(0.198)	(5.180)	(8.071)	(12.348)	(8.029)	(8.000)	(10.726)	(0.414)	(0.440)	(0.439)	(0.424)	(11.774)	(68.566)	(20.349)	(86.310)	(19.007)	(23.057)	(18.355)	(33.533)	(26.743)	(16.878)	(8.159)	(8.046)	(5.381)	(5.329)	(5.356)	(10.448)	(5.297)	(5.399)			(0.181)	(0.228)	(11.106)	(12.215)	(7.952)	(5.297)	(5.320)	(5.301)		(5.324)	(0.023)	(0.112)	(0.065)	(0.078)	(0.049)	(0.063)	(0.057)	(0.071)	(0.065)	(5.315)	(5.305)	(14.517)	(11.406)	(5.413)	(5.323)	(7.208)	(5.311)	(0.151)	(0.089)	(0.068)	(0.071)	(0.093)	(0.031)	(0.063)	(0.011)	(0.016)	(0.042)	(0.069)	(0.049)	(0.085)	(0.074)	(5.315)	(7.131)	(14.995)	(8.603)	(11.320)	(7.118)	(10.331)			(0.415)	(0.220)	(8.031)	(10.312)	(8.912)	(8.048)	(8.045)	(12.963)	(14.037)	(12.888)	(11.028)	(7.970)	(9.182)	(11.021)	(5.307)	(0.348)	(0.230)	(8.007)	(31.054)	(7.178)	(11.949)	(0.115)	(0.147)	(0.198)	(17.487)	(0.011)	(0.034)	(0.106)	(0.102)	(0.026)	(0.048)	(0.021)	(0.061)	(0.072)	(0.000)	(0.000)	(0.000)	(0.000)	(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.008)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.017)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.008)	(0.000)	(0.000)	(0.008)	(0.000)	(0.000)	(0.008)	(0.000)	(0.000)	(0.000)	(0.008)	(0.027)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.016)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.013)	(0.000)	(0.000)	(0.008)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.013)	(0.000)	(0.000)	(0.000)	(0.008)	(0.000)	(0.013)
1002.ps_dist#1.strata		0.001	0.034	0.287	0.239	0.043	0.955***	-2.163	3.486	0.114	0.000	0.171	0.400**	0.164	-0.439***	0.038	-0.012	-0.167	-0.217	0.033	-0.132	-0.131	3.029*	1.000***	439.686***	0.216	-0.005	0.211	0.231	-0.005	0.226	-0.243	0.715	0.472	1.799***	0.268*	2.067***	4.089***	0.281	4.370***	0.055	0.000	0.055	0.126	-0.001	0.125	-0.164**	0.374***	-38.663***	-230.435	7.526**	-18.000***	1.000***	0.090	-0.000	-0.472	1.420	-13.517	1.138	-0.837	0.422***	-0.858*	1.794***	35.768***	0.317	-0.073	0.043*	0.022	0.021	-0.165*	0.077	-0.038	0.082	0.000	0.047	0.000	0.021	2.847		0.099	2.385	-8.176	-0.115	-0.065	0.087	9.259	-0.006	-0.107	0.143	0.193	-0.249	-8.009	-8.095	5.824	-38.123	-13.998	39.245	6.969	4.771	-10.945	-14.329	-32.278	-43.881*	-0.173	-7.744	0.084	-0.078	-0.193	8.746	-0.300	-0.064			-15.829	-0.027	-0.320	-14.713	-8.071	-8.399	-0.014	-0.342		-0.254	0.014	0.035	-0.085	-0.118*	0.038	-0.129**	-0.088*	0.014	0.017	0.029	-0.214	9.305	9.407	-0.660	-5.214	-1.099***	0.183	-0.155	0.062	-0.180**	-0.036	0.120*	-0.039	0.022	-0.024*	0.111***	-0.078	-0.050	0.006	0.161*	-0.076	0.005	0.104	0.154	0.091	-0.078	-0.050	0.122			-8.020	0.090	-8.211	1.556	-0.276	-5.385	-7.809	-7.956	18.339*	-6.980	-37.083*	-0.072	-5.784	-5.583	-5.479	-12.263	0.180	-0.172	31.489	-10.674	-5.530	-0.097	0.085	-0.011	-7.533	0.016	-0.063*	0.156	-0.117	0.011	-0.048	0.021	0.011	0.004	0.000	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	-0.000	-0.000	0.000	0.008	-0.000	-0.000	0.000	-0.000	0.000	0.008	0.008	0.000	0.000	-0.000	0.008	0.000	-0.000	0.000	-0.014	0.000	0.000	0.000	0.000	-0.000	-0.000	0.000	-0.000	0.000	0.000	0.000	0.000	-0.000	-0.000	-0.000	0.008	-0.000	-0.000	-0.000	0.000	-0.000	0.000	0.016	-0.028	-0.000	-0.000	0.000	0.000	0.000	0.008	0.008	0.000	-0.000	0.000	-0.000	0.000	-0.000	-0.013	0.000	0.008	0.000	0.000	-0.000	-0.000	0.008	0.000	-0.000	-0.000	0.000	0.000	0.000	-0.014	-0.000	0.000	0.000	0.016*	-0.000	0.000	-0.000	0.008	-0.014	-0.000	-0.000	-0.000	-0.000	-0.000	-0.014
