		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	po_age	po_highest_educ	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	time_to_last_training	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_agency	tr_other_state_police	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	bp_effectiveness	transfer_request	same_home_district	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	marital_status1	marital_status2	marital_status3	marital_status4	caste1	caste2	caste3	caste4	caste5
																																																																																																																																																																																																
1007b.ps_dist#0b.strata		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
1007b.ps_dist#1.strata		-0.004	0.063	0.103	-0.039	0.000	0.706**	1.505**	1.020**	0.001	0.000	0.006	-0.038	-0.118	-0.047	-0.069	-0.072	0.173**	0.119	0.064*	0.277	0.206	2.420**		269.021***	0.175	-0.046	0.129	0.276	-0.005	0.270	12.164***	3.038***	15.202***	2.193***	0.095	2.288***	6.353***	0.517***	6.870***	0.097	0.000	0.097	-0.077	-0.020	-0.097	-0.029	-0.020	5.728	0.340	24.759***	0.000***	1.000***	-0.069	-0.017**	0.148**	-3.321***	-8.795	-3.003**	-0.297	-0.065	0.798*	0.279	3.333	-4.048	0.018	-0.038	-0.022	0.031	0.072	-0.181**	0.071	-0.005	-0.011	0.045	0.000	0.000	32.159	13.000	-0.439***	-0.880	0.029	0.039	-0.021	0.020	-4.037	-0.193	0.022*	-3.628	0.071*	4.534	1.086	-0.072	-0.284	49.904	14.687	-78.228	-12.385	-7.510	-3.992	15.196	12.908	-7.373	4.542	0.137*	0.007	0.173	0.193	-0.066	4.723	4.371	-0.302**	0.013	-0.086	4.795	0.038	-0.095	0.284	-0.084	-3.705	-0.005	-0.025	0.043	0.073	0.064	-0.117**	-0.029	0.056	-0.051	0.058	-0.092	4.268	4.297	-3.893	-0.179	4.475	-0.034	0.106	-0.000	-0.034	-0.067	-0.026	-0.026	-0.055*	-0.006	-0.021	-0.043	-0.081	0.007	-0.037	-0.005	0.014	-0.027	4.329	4.340	4.307	4.380	8.765*	4.111	4.294	4.375	4.326	4.283	0.880	4.423	7.069	4.549	11.207	7.796	-1.982	-2.009	-0.072	4.424	-9.918	4.480	6.498	0.018	-15.656**	5.037	-0.256**	0.211	-0.046	-7.195	0.023**	0.042	-0.040	-0.019	0.011	-0.039	0.003	-0.001	0.027
		(0.009)	(0.123)	(0.153)	(0.169)	(0.000)	(0.298)	(0.749)	(0.399)	(0.003)	(0.000)	(0.014)	(0.129)	(0.170)	(0.178)	(0.107)	(0.088)	(0.074)	(0.073)	(0.037)	(0.169)	(0.184)	(1.030)		(98.516)	(0.203)	(0.045)	(0.236)	(0.203)	(0.088)	(0.249)	(3.048)	(1.076)	(3.683)	(0.721)	(0.188)	(0.775)	(1.459)	(0.163)	(1.498)	(0.088)	(0.000)	(0.088)	(0.091)	(0.020)	(0.088)	(0.033)	(0.047)	(7.380)	(2.068)	(5.066)	(0.000)	(0.000)	(0.072)	(0.008)	(0.063)	(1.169)	(9.616)	(1.378)	(0.482)	(0.159)	(0.448)	(0.590)	(11.140)	(3.599)	(0.059)	(0.025)	(0.017)	(0.028)	(0.070)	(0.069)	(0.105)	(0.023)	(0.009)	(0.057)	(0.000)	(0.000)	(23.366)	(11.721)	(0.158)	(0.897)	(0.055)	(0.058)	(0.064)	(0.020)	(3.758)	(0.425)	(0.013)	(3.583)	(0.036)	(3.835)	(9.230)	(0.198)	(0.505)	(64.828)	(13.919)	(77.868)	(7.658)	(6.911)	(8.553)	(16.786)	(18.162)	(18.092)	(4.322)	(0.079)	(0.197)	(0.163)	(0.148)	(0.201)	(4.327)	(4.309)	(0.115)	(0.025)	(0.092)	(4.336)	(0.073)	(0.103)	(0.206)	(0.076)	(3.175)	(0.005)	(0.078)	(0.046)	(0.051)	(0.044)	(0.056)	(0.022)	(0.068)	(0.062)	(0.178)	(0.208)	(4.338)	(4.343)	(3.554)	(0.163)	(4.289)	(0.200)	(0.170)	(0.042)	(0.045)	(0.063)	(0.067)	(0.016)	(0.033)	(0.006)	(0.029)	(0.028)	(0.051)	(0.050)	(0.067)	(0.023)	(0.098)	(0.046)	(4.307)	(4.312)	(4.291)	(4.299)	(5.142)	(4.317)	(4.300)	(4.320)	(4.323)	(4.308)	(5.542)	(9.320)	(10.265)	(4.381)	(8.032)	(8.649)	(7.457)	(7.104)	(5.934)	(4.289)	(8.851)	(4.300)	(6.429)	(0.085)	(7.794)	(13.221)	(0.101)	(0.135)	(0.131)	(11.857)	(0.012)	(0.034)	(0.061)	(0.071)	(0.018)	(0.044)	(0.023)	(0.055)	(0.052)
1009.ps_dist#0b.strata		-0.108*	-0.348**	-0.415***	-0.412***	0.000	-0.423**	-0.783**	-0.659**	-0.024	0.000	-0.165*	-0.493***	-0.483***	-0.404**	-0.466***	-0.387***	0.171**	-0.165	-0.173*	-0.293**	-0.226	-2.347*		92.243	-0.093	-0.047	-0.140	0.215	-0.075	0.140	-1.466	-0.316	-1.782	-0.133	-0.209**	-0.342	2.131***	0.475**	2.606***	-0.000	0.000	-0.000	0.020	-0.020	0.000	0.634***	-0.590***	5.355	-1.391	0.482	-3.000***	0.000***	0.155**	-0.000	0.015	-2.276*	6.160	-2.223	-0.826*	-0.476***	0.626	0.362	7.121	-0.686	-0.031	-0.040	-0.004	-0.011	-0.106	-0.096	0.095	0.037	-0.011	0.010	0.000	0.000	31.774	-1.000***	0.207	1.332	0.086*	-0.058	0.106	0.004	-0.128	-4.235	-0.001	0.093	0.023	4.383	6.900	-0.175	-0.173	42.832	22.509*	-142.194**	-6.907	-6.233	-1.769	-4.698	6.920	-21.381	4.322	0.114	-0.134	0.020	0.098	0.031	4.668	4.484	-0.369***	-0.003	-0.126	4.571	-0.036	0.058	-0.129	-0.056	0.088	0.000	-0.095	0.152***	0.125**	0.032	-0.049	-0.040	0.069	0.052	-0.108	-0.269	4.432	4.205	-0.244	-0.373**	4.637	-0.221	-0.050	0.051	0.104*	0.013	0.059	-0.036	-0.046	-0.006	0.016	0.005	0.028	0.047	-0.007	-0.034	0.398***	-0.030	4.634	4.715	4.632	4.479	9.020*	0.200	4.367	4.385	4.648	4.417	-3.690	-6.912	16.364*	-5.483	7.258	7.312	0.026	-14.497	-0.002	4.583	-9.227	4.570	6.684	-0.137	-0.138	-14.008	-0.067	0.200	0.133	-12.031	0.000	0.069*	-0.041	-0.034	0.018	-0.056	-0.002	0.054	-0.014
		(0.062)	(0.138)	(0.144)	(0.143)	(0.000)	(0.188)	(0.298)	(0.329)	(0.025)	(0.000)	(0.083)	(0.118)	(0.120)	(0.178)	(0.125)	(0.118)	(0.073)	(0.143)	(0.097)	(0.144)	(0.145)	(1.228)		(71.268)	(0.146)	(0.046)	(0.190)	(0.151)	(0.053)	(0.159)	(1.266)	(0.749)	(1.687)	(0.589)	(0.090)	(0.626)	(0.577)	(0.198)	(0.687)	(0.003)	(0.000)	(0.003)	(0.021)	(0.020)	(0.003)	(0.030)	(0.053)	(6.544)	(1.166)	(2.328)	(0.000)	(0.000)	(0.078)	(0.000)	(0.091)	(1.358)	(6.060)	(1.536)	(0.480)	(0.147)	(0.452)	(0.639)	(11.879)	(0.413)	(0.052)	(0.029)	(0.025)	(0.013)	(0.069)	(0.089)	(0.116)	(0.039)	(0.009)	(0.057)	(0.000)	(0.000)	(22.893)	(0.000)	(0.195)	(1.088)	(0.051)	(0.057)	(0.064)	(0.020)	(0.388)	(4.128)	(0.002)	(0.315)	(0.026)	(3.909)	(6.934)	(0.181)	(0.423)	(70.934)	(13.059)	(71.061)	(6.165)	(6.084)	(7.499)	(18.290)	(18.680)	(16.121)	(4.415)	(0.071)	(0.170)	(0.169)	(0.149)	(0.196)	(4.417)	(4.394)	(0.109)	(0.027)	(0.106)	(4.421)	(0.067)	(0.127)	(0.196)	(0.092)	(0.309)	(0.000)	(0.070)	(0.046)	(0.050)	(0.043)	(0.059)	(0.027)	(0.060)	(0.065)	(0.150)	(0.197)	(4.424)	(4.430)	(0.427)	(0.146)	(4.375)	(0.184)	(0.169)	(0.051)	(0.059)	(0.069)	(0.075)	(0.022)	(0.032)	(0.006)	(0.034)	(0.022)	(0.038)	(0.052)	(0.065)	(0.024)	(0.120)	(0.053)	(4.393)	(4.397)	(4.376)	(4.385)	(5.231)	(6.042)	(4.386)	(4.404)	(4.412)	(4.392)	(7.110)	(12.784)	(8.699)	(8.029)	(8.882)	(8.826)	(6.091)	(9.908)	(6.038)	(4.374)	(8.705)	(4.386)	(6.558)	(0.103)	(6.227)	(18.644)	(0.101)	(0.145)	(0.159)	(14.675)	(0.009)	(0.038)	(0.064)	(0.069)	(0.022)	(0.038)	(0.024)	(0.055)	(0.058)
1009.ps_dist#1.strata		-0.050	-0.017	-0.160	-0.164	0.000	0.389	0.904*	0.446	-0.001	0.000	-0.194*	-0.296**	-0.340**	-0.287	-0.260*	-0.280**	0.168**	-0.251*	-0.126	-0.284*	-0.215	-0.700		361.966***	0.018	-0.049	-0.031	0.315**	-0.017	0.298*	9.469***	1.889**	11.358***	1.862**	-0.018	1.844**	5.969***	1.852***	7.821***	0.087	0.000	0.087	-0.066	-0.021	-0.087	0.666***	-0.649***	4.100	0.370	21.290***	-3.000***	1.000***	-0.028	-0.006	0.147**	-3.680***	0.967	-4.222***	0.244	-0.286*	0.282	1.105*	19.223	-1.077**	-0.003	-0.058**	0.026	-0.011	0.092	-0.167*	0.026	-0.019	-0.011	0.025	0.000	0.000	31.186	-1.000***	-0.275	0.557	0.031	-0.048	0.006	-0.005	0.120	0.124	0.012	-0.093	0.036*	4.523	6.879	0.011	-5.728	80.060	-0.297	-130.274	-14.880**	-20.136*	-10.056	4.840	8.662	-2.861	4.686	0.174**	-0.146	-0.028	0.019	-0.103	4.534	4.328	0.048	0.090	-0.006	4.837	0.010	-0.093	0.104	-0.165**	-0.193	-0.000	0.066	0.079	0.153***	0.050	-0.003	-0.018	0.066	-0.064	-0.182	-0.373*	4.372	4.379	-0.131	-0.199	4.772	-0.241	-0.119	0.026	0.080	0.013	-0.048	-0.002	-0.025	-0.006	0.047	-0.034	-0.078	0.042	0.011	-0.019	0.401***	0.131	4.824	4.979	4.792	4.797	9.504*	4.746	4.552	4.604	4.731	4.558	0.662	5.259	15.474*	-0.943	1.859	-2.318	-4.669	-14.206	1.128	4.660	-40.460*	4.873	6.911	-0.044	-10.481	6.036	-0.147	0.045	-0.102	-16.168	0.016	0.079**	-0.070	-0.017	0.024	-0.043	0.001	0.012	0.006
		(0.050)	(0.127)	(0.171)	(0.171)	(0.000)	(0.279)	(0.468)	(0.320)	(0.002)	(0.000)	(0.104)	(0.145)	(0.151)	(0.189)	(0.135)	(0.126)	(0.072)	(0.148)	(0.109)	(0.150)	(0.152)	(1.022)		(84.945)	(0.189)	(0.048)	(0.227)	(0.155)	(0.079)	(0.160)	(2.032)	(0.811)	(2.592)	(0.717)	(0.148)	(0.768)	(1.550)	(0.423)	(1.716)	(0.082)	(0.000)	(0.082)	(0.084)	(0.021)	(0.082)	(0.045)	(0.062)	(7.258)	(1.878)	(4.220)	(0.000)	(0.000)	(0.081)	(0.005)	(0.061)	(1.232)	(7.594)	(1.279)	(0.599)	(0.159)	(0.492)	(0.641)	(11.837)	(0.477)	(0.041)	(0.023)	(0.030)	(0.012)	(0.095)	(0.092)	(0.138)	(0.024)	(0.009)	(0.073)	(0.000)	(0.000)	(22.158)	(0.000)	(0.242)	(1.116)	(0.053)	(0.058)	(0.079)	(0.019)	(0.420)	(0.384)	(0.008)	(0.345)	(0.021)	(4.076)	(6.608)	(0.202)	(5.343)	(59.399)	(20.371)	(84.638)	(7.207)	(11.229)	(8.455)	(17.968)	(19.260)	(15.141)	(4.600)	(0.075)	(0.178)	(0.158)	(0.161)	(0.182)	(4.605)	(4.591)	(0.167)	(0.056)	(0.124)	(4.615)	(0.075)	(0.113)	(0.203)	(0.077)	(0.320)	(0.001)	(0.081)	(0.052)	(0.045)	(0.050)	(0.068)	(0.025)	(0.067)	(0.064)	(0.144)	(0.195)	(4.616)	(4.621)	(0.414)	(0.168)	(4.563)	(0.178)	(0.154)	(0.050)	(0.053)	(0.064)	(0.071)	(0.017)	(0.048)	(0.005)	(0.035)	(0.032)	(0.067)	(0.056)	(0.076)	(0.020)	(0.116)	(0.081)	(4.583)	(4.589)	(4.567)	(4.575)	(5.446)	(4.592)	(4.575)	(4.594)	(4.608)	(4.582)	(5.919)	(9.564)	(8.508)	(7.128)	(10.052)	(10.385)	(7.656)	(11.132)	(5.904)	(4.561)	(23.182)	(4.577)	(6.840)	(0.129)	(11.792)	(12.177)	(0.091)	(0.163)	(0.145)	(15.224)	(0.018)	(0.040)	(0.072)	(0.073)	(0.023)	(0.047)	(0.023)	(0.065)	(0.059)
