		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	uniqueid	po_mobnum	po_mobnum_alt	po_age	po_highest_educ	po_highest_educ_os	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	po_birth_village	time_to_last_training	tr_topic	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_os	tr_agency	tr_other_state_police	tr_agency_os	q111filter	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	dv_fewcases	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	random_s8	s8name	s8name_hindi	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	random_dp	random_dptext	random_dptext_hindi	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	discuss_topics_os	bp_effectiveness	transfer_request	same_home_district	actcount	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	po_subcaste	marital_status1	marital_status2	marital_status3	marital_status4	marital_status5	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87
																																																																																																																																																																																																																																																																																																																
T	T	-0.138	-0.197	0.158	-0.280**	0.044	-0.022	-0.879***	13.952	-0.094		0.177	-0.295	0.219	0.620***	0.379*	0.215		-0.121	-0.085	-0.359	-0.053	3.505*		-117.780	0.766*		0.766*	0.001		0.001	3.911**	-0.330	3.581	-1.159	0.252	-0.907	0.373		0.373	0.094		0.094	0.053		0.053	0.053	0.016	-4.514	-80.955	3.961			0.121		-0.719	-0.719	-0.719	-0.719	-0.504	25.297***	25.297***	-0.906	-0.170	-0.088	0.343	-0.634	-11.904	-11.904	9.419	9.419	-0.080	0.053	0.026		0.117	0.028	0.019	-0.103***	0.026	-0.012				-43.521	-25.000***	-25.000***	-25.000***	0.258	0.214	0.042	0.003	0.042	0.008	9.869		-0.002	-0.002	-0.073*	-0.073*	-0.106	0.117	0.094	-10.531	-81.936	18.093	-60.552	40.001	26.713	23.764	2.329	25.484	22.994*	0.053	0.074	0.084	-0.044	0.080	-7.915	0.085	-0.231	-0.231	-0.231	-0.015	0.033	-0.063	10.082	-0.113	0.013	0.209	0.064	0.064	0.042	0.002	0.167	-0.023	-0.058	-0.011	-0.032	-0.023	-0.081	-0.052	0.011	-0.023	-7.934	10.050	-0.131	9.109	-0.150	0.006	-0.166*	0.145	-0.015	0.039	-0.089	-0.004	-0.003	0.015	0.009	0.011	-0.006	-0.067*	0.033	-0.113*	0.129	0.056	0.066	0.139	-0.055	-0.011	-0.070	-0.070	-0.070	-0.070	-0.070	-0.070	-0.060	0.011	-0.095	10.098	0.006	0.006	0.006	0.006	-8.432	-0.009	-8.364	-15.595	-8.063	-8.406	-0.022	-12.621	13.925	0.024	8.315	8.315	0.011	0.047	36.014	36.014	-8.490	10.233	-0.062	0.115	0.053	2.563	2.563	0.013	0.025	-0.024	0.001	-0.014	-0.004	0.137	-0.032	-0.050	-0.051	-0.015	-0.014	-0.014	-0.004	-0.014	-0.014	-0.015	-0.015	-0.015	-0.015	0.012	0.049**	-0.014	0.025	-0.015	-0.014	-0.014	-0.014	-0.014	-0.002	0.012	0.013	0.013	0.013	0.013	0.012	-0.014	0.012	0.012	0.010	0.013	-0.014	-0.014	-0.002	-0.014	-0.014	0.013	0.024	-0.014	-0.014	0.013	-0.015	-0.002	0.037**	-0.015	-0.014	0.024	-0.014	-0.015	0.012	-0.015	0.013	-0.015	-0.003	-0.015	0.025	-0.002	-0.003	-0.014	-0.014	-0.014	0.012	0.025	0.008	0.012	0.012	-0.043*	-0.014	0.012	-0.015	0.024	0.020	0.012	0.013	0.013	0.037	0.010	0.013	-0.015	0.013	0.013	-0.014	-0.003	-0.029*	-0.028***	0.024	0.012
		(0.133)	(0.144)	(0.257)	(0.132)	(0.046)	(0.441)	(0.223)	(12.623)	(0.073)		(0.116)	(0.191)	(0.249)	(0.155)	(0.217)	(0.130)		(0.176)	(0.166)	(0.236)	(0.120)	(1.970)		(76.980)	(0.428)		(0.428)	(0.324)		(0.324)	(1.773)	(1.424)	(2.449)	(1.393)	(0.190)	(1.498)	(1.191)		(1.191)	(0.143)		(0.143)	(0.092)		(0.092)	(0.063)	(0.071)	(14.163)	(159.244)	(4.736)			(0.117)		(0.436)	(0.436)	(0.436)	(0.436)	(0.865)	(7.042)	(7.042)	(0.992)	(0.750)	(0.151)	(0.480)	(0.653)	(12.574)	(12.574)	(7.866)	(7.866)	(0.127)	(0.049)	(0.025)		(0.075)	(0.125)	(0.140)	(0.032)	(0.023)	(0.081)				(43.256)	(1.414)	(1.414)	(1.414)	(0.248)	(1.638)	(0.124)	(0.096)	(0.131)	(0.034)	(10.309)		(0.020)	(0.018)	(0.041)	(0.041)	(0.236)	(0.073)	(0.325)	(17.227)	(60.896)	(35.815)	(76.914)	(29.578)	(22.081)	(17.392)	(24.665)	(22.879)	(12.732)	(0.274)	(0.068)	(0.080)	(0.175)	(0.174)	(8.119)	(0.138)	(0.321)	(0.321)	(0.321)	(0.099)	(0.035)	(0.195)	(9.481)	(0.074)	(0.130)	(0.244)	(0.063)	(0.063)	(0.066)	(0.020)	(0.113)	(0.103)	(0.085)	(0.057)	(0.062)	(0.063)	(0.071)	(0.051)	(0.117)	(0.119)	(8.113)	(9.410)	(0.362)	(6.575)	(0.395)	(0.067)	(0.095)	(0.134)	(0.082)	(0.088)	(0.067)	(0.032)	(0.070)	(0.022)	(0.021)	(0.062)	(0.062)	(0.036)	(0.067)	(0.062)	(0.131)	(0.082)	(0.114)	(0.129)	(0.053)	(0.056)	(0.094)	(0.094)	(0.094)	(0.094)	(0.094)	(0.094)	(0.058)	(0.013)	(0.088)	(9.370)	(0.065)	(0.065)	(0.065)	(0.065)	(8.055)	(0.107)	(6.356)	(9.492)	(8.118)	(6.373)	(0.079)	(9.498)	(12.025)	(0.079)	(21.608)	(21.608)	(0.101)	(0.066)	(36.491)	(36.491)	(8.113)	(6.602)	(0.091)	(0.198)	(0.227)	(16.007)	(16.007)	(0.012)	(0.047)	(0.113)	(0.102)	(0.010)	(0.024)	(0.079)	(0.023)	(0.054)	(0.083)	(0.014)	(0.012)	(0.012)	(0.027)	(0.010)	(0.012)	(0.015)	(0.014)	(0.014)	(0.014)	(0.012)	(0.020)	(0.010)	(0.024)	(0.015)	(0.010)	(0.010)	(0.010)	(0.010)	(0.017)	(0.010)	(0.010)	(0.010)	(0.012)	(0.010)	(0.012)	(0.012)	(0.010)	(0.012)	(0.021)	(0.012)	(0.012)	(0.010)	(0.018)	(0.010)	(0.012)	(0.012)	(0.015)	(0.012)	(0.010)	(0.010)	(0.015)	(0.019)	(0.016)	(0.014)	(0.010)	(0.014)	(0.010)	(0.014)	(0.012)	(0.015)	(0.010)	(0.014)	(0.017)	(0.015)	(0.016)	(0.017)	(0.018)	(0.012)	(0.010)	(0.010)	(0.013)	(0.019)	(0.032)	(0.012)	(0.010)	(0.022)	(0.012)	(0.010)	(0.014)	(0.024)	(0.066)	(0.012)	(0.010)	(0.012)	(0.021)	(0.017)	(0.010)	(0.014)	(0.010)	(0.010)	(0.010)	(0.018)	(0.016)	(0.008)	(0.045)	(0.012)
o.T	T = o,										-							-						-			-			-									-			-			-							-	-		-																				-							-	-	-												-																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																
o._cons																								0.000			0.000			0.000									0.000			0.000			0.000																														0.000							0.000	0.000	0.000												0.000																																																																																																																																																																																																																
																								(0.000)			(0.000)			(0.000)									(0.000)			(0.000)			(0.000)																														(0.000)							(0.000)	(0.000)	(0.000)												(0.000)																																																																																																																																																																																																																
																																																																																																																																																																																																																																																																																																																
Observations		152	152	152	152	152	152	152	152	152	152	152	152	152	112	152	152	152	152	152	152	152	152	9	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	149	149	149	149	152	152	152	152	152	33	33	33	33	152	152	152	152	152	152	152	152	152	152	152	152	57	57	57	57	57	57	57	57	57	57	57	57	57	57	2	2	2	57	57	152	152	152	152	152	152	152	152	152	152	152	152	152	152	132	152	135	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	91	91	152	152	69	69	152	138	130	130	130	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152	152
