		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	uniqueid	po_mobnum	po_mobnum_alt	po_age	po_highest_educ	po_highest_educ_os	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	po_birth_village	time_to_last_training	tr_topic	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_os	tr_agency	tr_other_state_police	tr_agency_os	q111filter	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	dv_fewcases	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	random_s8	s8name	s8name_hindi	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	random_dp	random_dptext	random_dptext_hindi	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	discuss_topics_os	bp_effectiveness	transfer_request	same_home_district	actcount	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	po_subcaste	marital_status1	marital_status2	marital_status3	marital_status4	marital_status5	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87
																																																																																																																																																																																																																																																																																																																
T	T	0.089	0.161	-0.101	-0.074		-0.182	-0.276	3.445	0.015		-0.082	0.007	0.134	-0.022	-0.217	-0.348**	-0.095	0.367*	0.126	0.099	0.099	0.448	0.041	-106.226	-0.317		-0.317	0.295	-0.045	0.251	0.998	-0.602	0.397	-1.121**	0.006	-1.116*	-0.927	-0.269	-1.196	0.105		0.105				0.110*	0.013	12.796	-151.723	-1.876			0.187**		0.632*	0.632*	0.632*	0.632*	0.030	-15.408	-15.408	-0.897	-0.113	-0.122	-0.309	-0.098	-5.908	-5.908	-4.115	-4.115	0.010	0.042	-0.014	-0.014	-0.027	-0.063	0.009	0.045	0.026	-0.058		-0.014	-0.014	25.272	25.272	25.272	25.272	-0.018	-1.192	-8.731	0.017	4.974	-8.795	-8.796	-8.789	-8.786	-1.328	0.004	0.004	-0.099	7.568	7.681	7.511	38.836	22.342	-113.161	9.758	43.888***	4.588	-60.341*	-15.562	1.539	-8.696	14.957	-5.663	-5.986	-5.981	-5.784	-5.823	-6.127	-6.127	-6.127	-1.395	0.015	-17.736	-2.269	-1.238	-14.665	-5.785	-5.748	-5.748	-5.911	-0.003	-0.115	-0.023	0.063	0.037	0.052	-0.025	0.065	-0.054	-5.613	-5.754	4.182	-0.750	-6.050	-0.834	-1.290	-5.717	0.040	-0.012	-0.090	-0.052	-0.031	-0.044	0.084	-0.011	0.022	-0.001	-0.076	-0.033	-0.073	-0.045	-5.865	-0.802	16.571	4.297	4.248	-0.777	6.479	6.479	6.479	6.479	6.479	6.479	7.536	0.037	-1.205	1.547	-17.463*	-17.463*	-17.463*	-17.463*	-3.815	-1.188	-2.626	-3.660	-5.095	17.327	-8.750	1.250	3.655	-11.623	-13.103	-13.103	-0.003	-8.853	-0.025	-0.025	-12.385	4.378	-0.074	-0.016	-0.091	12.307	12.307	0.019	0.004	-0.211**	0.179*	0.009	-0.018	0.030	0.021	-0.066	0.033	-0.007	-0.007	0.018	-0.007	-0.015	-0.007	-0.015	-0.007	-0.006	0.009	-0.007	0.009	0.009	-0.007	0.009	0.001	0.009	-0.007	0.009	-0.007	0.023	0.009	-0.007	-0.022*	0.009	0.011	0.009	0.001	0.009	-0.015	0.004	0.009	0.009	0.009	0.009	0.010	-0.007	-0.007	-0.007	-0.007	-0.007	0.009	0.003	0.019	0.009	-0.007	0.009	0.011	-0.007	0.009	-0.007	-0.007	-0.007	-0.007	-0.007	-0.007	0.018	0.009	0.009	0.018	0.009	-0.007	0.001	-0.015	0.009	-0.006	-0.007	-0.007	-0.007	0.009	0.001	-0.015	0.009	-0.007	-0.007	0.009	0.001	-0.007	-0.007	-0.007	0.010	-0.006	-0.007	0.009	-0.001	0.018	-0.007
		(0.090)	(0.123)	(0.178)	(0.182)		(0.316)	(0.237)	(2.734)	(0.016)		(0.099)	(0.115)	(0.187)	(0.240)	(0.160)	(0.162)	(0.140)	(0.190)	(0.121)	(0.117)	(0.117)	(1.739)	(0.391)	(82.126)	(0.370)		(0.370)	(0.191)	(0.045)	(0.191)	(1.813)	(0.886)	(1.911)	(0.535)	(0.161)	(0.599)	(1.306)	(0.237)	(1.426)	(0.097)		(0.097)				(0.061)	(0.032)	(9.607)	(144.881)	(2.095)			(0.072)		(0.363)	(0.363)	(0.363)	(0.363)	(0.833)	(14.789)	(14.789)	(1.066)	(0.438)	(0.079)	(0.388)	(0.834)	(15.287)	(15.287)	(9.776)	(9.776)	(0.043)	(0.040)	(0.012)	(0.012)	(0.068)	(0.079)	(0.141)	(0.081)	(0.028)	(0.114)		(0.012)	(0.012)	(22.621)	(22.621)	(22.621)	(22.621)	(0.269)	(1.864)	(7.627)	(0.086)	(4.771)	(8.528)	(8.528)	(8.528)	(8.530)	(10.818)	(0.020)	(0.020)	(0.153)	(7.071)	(6.559)	(7.078)	(58.034)	(18.924)	(71.458)	(14.008)	(13.871)	(16.053)	(31.945)	(29.256)	(28.460)	(8.802)	(10.177)	(5.782)	(5.686)	(5.721)	(5.694)	(5.690)	(5.747)	(5.747)	(5.747)	(10.009)	(0.065)	(11.818)	(13.768)	(11.315)	(9.829)	(5.710)	(5.714)	(5.714)	(5.701)	(0.019)	(0.079)	(0.061)	(0.057)	(0.046)	(0.072)	(0.048)	(0.056)	(0.067)	(5.669)	(5.692)	(10.887)	(7.231)	(5.730)	(7.334)	(7.269)	(5.671)	(0.080)	(0.069)	(0.064)	(0.070)	(0.085)	(0.040)	(0.075)	(0.017)	(0.036)	(0.049)	(0.071)	(0.041)	(0.078)	(0.078)	(5.679)	(7.199)	(14.223)	(8.472)	(10.833)	(7.186)	(10.026)	(10.026)	(10.026)	(10.026)	(10.026)	(10.026)	(7.063)	(0.069)	(11.317)	(9.283)	(9.552)	(9.552)	(9.552)	(9.552)	(9.934)	(11.119)	(15.081)	(9.525)	(14.435)	(21.054)	(8.538)	(10.683)	(12.095)	(7.882)	(11.584)	(11.584)	(0.094)	(8.522)	(0.106)	(0.106)	(9.527)	(12.680)	(0.105)	(0.158)	(0.228)	(13.440)	(13.440)	(0.014)	(0.023)	(0.092)	(0.095)	(0.008)	(0.020)	(0.038)	(0.017)	(0.052)	(0.052)	(0.007)	(0.006)	(0.011)	(0.007)	(0.010)	(0.007)	(0.011)	(0.007)	(0.013)	(0.008)	(0.008)	(0.009)	(0.008)	(0.007)	(0.008)	(0.009)	(0.008)	(0.007)	(0.009)	(0.007)	(0.024)	(0.008)	(0.006)	(0.012)	(0.009)	(0.017)	(0.008)	(0.011)	(0.009)	(0.010)	(0.020)	(0.008)	(0.009)	(0.009)	(0.009)	(0.014)	(0.007)	(0.008)	(0.007)	(0.008)	(0.007)	(0.008)	(0.014)	(0.015)	(0.009)	(0.008)	(0.008)	(0.017)	(0.006)	(0.009)	(0.007)	(0.007)	(0.007)	(0.008)	(0.007)	(0.007)	(0.015)	(0.008)	(0.008)	(0.012)	(0.008)	(0.007)	(0.011)	(0.016)	(0.009)	(0.013)	(0.007)	(0.006)	(0.006)	(0.009)	(0.011)	(0.010)	(0.008)	(0.007)	(0.006)	(0.008)	(0.010)	(0.008)	(0.006)	(0.007)	(0.013)	(0.013)	(0.007)	(0.009)	(0.023)	(0.013)	(0.007)
o.T	T = o,					-					-																-															-		-	-	-						-	-		-																											-																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																																																																																
o._cons																											0.000															0.000			0.000																																					0.000																																																																																																																																																																																																																														
																											(0.000)															(0.000)			(0.000)																																					(0.000)																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																																																																																
Observations		248	248	248	248	248	248	248	248	248	248	248	248	248	197	248	248	248	248	248	248	248	248	55	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	55	55	55	55	248	248	248	248	248	248	248	248	248	248	248	248	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	98	248	248	248	248	248	248	248	248	248	248	248	248	248	248	231	248	223	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	144	144	248	248	78	78	248	225	219	219	219	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248	248
