		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)
VARIABLES	LABELS	ps_phone	ps_electricity	po_rank	ps_confirm	ps_type	uniqueid	po_mobnum	po_mobnum_alt	po_age	po_highest_educ	po_highest_educ_os	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	po_birth_village	time_to_last_training	tr_topic	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_os	tr_agency	tr_other_state_police	tr_agency_os	q111filter	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	dv_fewcases	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	random_s8	s8name	s8name_hindi	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	random_dp	random_dptext	random_dptext_hindi	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	discuss_topics_os	bp_effectiveness	transfer_request	same_home_district	actcount	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	po_subcaste	marital_status1	marital_status2	marital_status3	marital_status4	marital_status5	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87	po_subcaste88	po_subcaste89	po_subcaste90	po_subcaste91	po_subcaste92	po_subcaste93	po_subcaste94	po_subcaste95	po_subcaste96	po_subcaste97	po_subcaste98	po_subcaste99	po_subcaste100	po_subcaste101	po_subcaste102	po_subcaste103	po_subcaste104	po_subcaste105	po_subcaste106	po_subcaste107	po_subcaste108	po_subcaste109	po_subcaste110
																																																																																																																																																																																																																																																																																					
o.T	T = o,	-	-		-																									-		-	-	-		-	-	-																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																					
T	T			0.181*		0.062	0.062	0.062	0.062	-1.763*	16.235	16.235	-1.902*	-0.976*	-0.056	-0.439	0.267	5.343	5.343	8.462	8.462	0.011	0.049	0.035*	-0.029	-0.047	-0.047	0.149	-0.008		-0.085				1.978				-0.092	-1.332	1.658	-4.454	-6.811	1.509	-0.004	-0.008	-0.010	1.505	16.368	16.368	-0.025	-24.051	-0.120	11.653	-1.830	3.524	53.426	-16.469	-4.368	-12.228	0.597	-18.795	10.342	-0.151	5.297	0.016	-0.080	-0.039	-0.044	-0.045	0.210	0.210	0.210	-0.042	-0.120	-6.693	-13.302	-4.557	-0.086	-0.239*	-5.702	-5.702	-0.024	-0.003	0.118	-0.017	-0.059	-0.106***	-0.065	-0.022	-0.025	-0.126	-0.130	0.075	-4.527	-4.443	-0.319	0.009	-4.479	0.111*	0.114	-0.020	-0.070	-0.017	-0.064	-0.003	0.066	-0.025	0.084*	-0.011	-0.017	0.025	0.032	0.002	0.093	8.450	0.182	0.085	0.167	3.812	0.025	0.025	0.025	0.025	0.025	0.025	-0.090	-0.042	5.382	8.033	-4.619	-4.619	-4.619	-4.619	-4.611	1.715	-6.810	0.071	-6.704	1.079	-6.699	-11.279	-0.029	0.039	0.004	0.004	8.114	-0.032	30.304	30.304	0.863	0.024	-0.014	-0.090	-0.104	-19.229	-19.229	-0.002	0.068*	0.058	-0.137**	0.014	0.029	-0.049	0.017	0.025	-0.022	0.034*	-0.008	0.007	0.007	0.007	0.007	0.007	-0.017	0.007	-0.008	0.007	0.007	0.014*	-0.008	-0.008	0.007	-0.008	-0.008	0.043	0.007	0.014	0.007	0.007	-0.008	-0.008	0.007	-0.018	-0.008	0.007	-0.008	0.007	-0.002	-0.017	0.012	0.020*	0.007	0.007	0.007	-0.018	-0.008	-0.008	0.007	0.014	0.007	-0.008	0.007	-0.010	-0.010	0.007	0.013	-0.008	0.010	-0.008	-0.003	-0.008	0.007	-0.008	-0.017	0.007	0.007	0.020	-0.042*	0.007	-0.008	0.007	0.007	-0.008	0.007	-0.008	-0.017	0.014	0.007	-0.008	-0.008	-0.002	0.013	-0.008	-0.008	-0.002	-0.017	0.007	0.005	-0.008	-0.016	0.007	-0.062	-0.010	-0.001	-0.010	-0.002	0.007	0.007	-0.002	0.007	-0.002	0.007	-0.008	0.019	0.007	0.007	0.007	0.007	-0.008	0.014	-0.008	-0.017	0.007	0.014	0.007	-0.015
				(0.106)		(0.076)	(0.076)	(0.076)	(0.076)	(1.025)	(13.270)	(13.270)	(1.089)	(0.513)	(0.128)	(0.361)	(0.732)	(13.589)	(13.589)	(8.416)	(8.416)	(0.072)	(0.029)	(0.018)	(0.028)	(0.090)	(0.102)	(0.119)	(0.027)		(0.073)				(23.380)				(0.220)	(1.649)	(10.436)	(4.592)	(6.123)	(10.832)	(0.018)	(0.008)	(0.013)	(10.533)	(13.593)	(13.593)	(0.170)	(21.007)	(0.211)	(26.762)	(54.248)	(28.992)	(62.452)	(20.937)	(34.964)	(20.086)	(32.357)	(33.358)	(28.694)	(0.174)	(5.294)	(0.043)	(0.108)	(0.103)	(0.128)	(0.151)	(0.272)	(0.272)	(0.272)	(0.097)	(0.080)	(6.615)	(13.195)	(3.941)	(0.102)	(0.128)	(9.316)	(9.316)	(0.063)	(0.015)	(0.090)	(0.054)	(0.046)	(0.036)	(0.074)	(0.047)	(0.075)	(0.077)	(0.128)	(0.070)	(3.872)	(3.905)	(0.281)	(0.145)	(4.626)	(0.065)	(0.124)	(0.081)	(0.061)	(0.080)	(0.073)	(0.033)	(0.072)	(0.019)	(0.046)	(0.032)	(0.068)	(0.036)	(0.073)	(0.073)	(0.159)	(7.480)	(0.166)	(0.154)	(0.102)	(8.208)	(0.111)	(0.111)	(0.111)	(0.111)	(0.111)	(0.111)	(0.063)	(0.068)	(5.283)	(6.775)	(3.927)	(3.927)	(3.927)	(3.927)	(3.953)	(10.556)	(6.681)	(0.129)	(6.674)	(7.052)	(6.666)	(7.437)	(0.035)	(0.083)	(0.061)	(0.061)	(6.803)	(0.068)	(26.799)	(26.799)	(7.042)	(0.017)	(0.123)	(0.161)	(0.162)	(15.092)	(15.092)	(0.011)	(0.039)	(0.067)	(0.065)	(0.009)	(0.023)	(0.041)	(0.019)	(0.046)	(0.061)	(0.017)	(0.008)	(0.006)	(0.006)	(0.007)	(0.006)	(0.007)	(0.011)	(0.007)	(0.008)	(0.007)	(0.007)	(0.007)	(0.008)	(0.008)	(0.006)	(0.007)	(0.008)	(0.029)	(0.007)	(0.009)	(0.007)	(0.007)	(0.008)	(0.008)	(0.007)	(0.015)	(0.008)	(0.007)	(0.007)	(0.006)	(0.010)	(0.011)	(0.015)	(0.011)	(0.006)	(0.006)	(0.006)	(0.017)	(0.008)	(0.007)	(0.007)	(0.010)	(0.006)	(0.007)	(0.006)	(0.013)	(0.017)	(0.007)	(0.009)	(0.007)	(0.018)	(0.007)	(0.015)	(0.007)	(0.007)	(0.009)	(0.012)	(0.007)	(0.006)	(0.014)	(0.022)	(0.006)	(0.008)	(0.006)	(0.007)	(0.008)	(0.006)	(0.008)	(0.012)	(0.010)	(0.007)	(0.008)	(0.008)	(0.011)	(0.028)	(0.008)	(0.007)	(0.011)	(0.011)	(0.007)	(0.010)	(0.008)	(0.020)	(0.007)	(0.038)	(0.012)	(0.011)	(0.013)	(0.011)	(0.007)	(0.006)	(0.010)	(0.007)	(0.010)	(0.006)	(0.008)	(0.025)	(0.006)	(0.007)	(0.007)	(0.007)	(0.008)	(0.009)	(0.008)	(0.010)	(0.006)	(0.010)	(0.007)	(0.045)
o._cons																														0.000		0.000	0.000	0.000																																																																																																																																																																																																																																																			
																														(0.000)		(0.000)	(0.000)	(0.000)																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																																																					
Observations		269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	97	97	97	97	97	97	97	97	97	97	97	97	97	97	2	2	2	97	97	269	269	269	269	269	269	269	269	269	269	269	269	269	269	229	269	231	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	148	148	269	269	73	73	269	226	221	221	221	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269	269
