		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)	(304)	(305)	(306)	(307)	(308)	(309)	(310)	(311)	(312)	(313)	(314)	(315)	(316)	(317)	(318)	(319)	(320)	(321)	(322)	(323)	(324)	(325)	(326)	(327)	(328)	(329)	(330)	(331)	(332)	(333)	(334)	(335)	(336)	(337)	(338)	(339)	(340)	(341)	(342)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	uniqueid	po_mobnum	po_mobnum_alt	po_age	po_highest_educ	po_highest_educ_os	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	po_birth_village	time_to_last_training	tr_topic	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_os	tr_agency	tr_other_state_police	tr_agency_os	q111filter	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	dv_fewcases	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	random_s8	s8name	s8name_hindi	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	random_dp	random_dptext	random_dptext_hindi	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	discuss_topics_os	bp_effectiveness	transfer_request	same_home_district	actcount	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	po_subcaste	marital_status1	marital_status2	marital_status3	marital_status4	marital_status5	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87	po_subcaste88	po_subcaste89	po_subcaste90	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si
																																																																																																																																																																																																																																																																																																																																																							
o.T	T = o,	-				-				-	-																									-						-		-	-	-						-	-			-	-	-	-																							-	-	-		-	-	-																																		-	-									-																																											-	-																																																																																																																																				-							-	-																									-		
																																																																																																																																																																																																																																																																																																																																																							
T	T		0.473**	0.037	0.109		-0.120	-59.431	-0.790			0.221	-0.150	0.188	0.039	0.263	-0.021	-0.092	0.325	0.139	0.316**	0.102	1.135	1.135	-19.375	0.072	-0.425	-0.354	-0.000	0.125	0.125	0.964	-0.114	0.850	-1.276		-1.276	0.426	-0.601	-0.175	0.170		0.170				0.023	-0.052	22.542	-121.338	-0.660			-0.008	-0.008					0.540	11.636	11.636	0.242	-0.863	0.176	-1.051**	1.148*	24.205*	24.205*	-15.740	-15.740	0.052	0.078	0.032	0.027	-0.102	-0.002	0.019	-0.023	0.027	-0.099				-41.768				0.050	-4.210**	-31.242*	-10.946	-0.080	-0.047	-0.063**	0.008	-0.060	-0.021	-0.002	-0.002	-15.427	-15.845	-0.270	14.300	86.911	49.034*	-95.652	10.958	35.566	24.069	-39.695	-3.197	-7.210	-0.269	-0.023	0.092	-4.656	-4.549	0.342	-9.815	-4.577			-0.105	0.034	-8.002	-0.095	-5.166	-0.092	6.976	-0.144		0.182***	-0.011	0.021	0.026	0.041	-0.035	0.041	-0.006	-0.009	0.076	0.112	0.301	9.757	0.080	-5.423	0.145	0.242	0.083	-5.111	0.028	0.100	-0.010	-0.112	0.012	0.044	-0.028	-0.060	0.008	0.011	-0.003	0.004	-0.121	-7.636	-17.620*	7.263	-7.436	-18.939	-11.192	0.119	0.119	0.119	0.119			-0.001	-0.032	-0.078	-0.251	-0.044	-0.044	-0.044	-0.044	-19.245	-0.122	-0.016	10.539	0.139	0.035	-11.095	-37.691	14.346	-5.221	-45.998*	-45.998*	-0.107	-7.676	0.109	0.109	7.130	-5.800	-0.028	0.038	0.010	-18.800	-18.800	-0.011	-0.008	0.048	-0.045	0.016	0.028	0.036	-0.042	-0.101	0.078	-0.025	0.008	-0.011	-0.011	-0.011	-0.011	0.008	-0.028	-0.011	0.017	0.008	-0.011	-0.025	0.015	0.019	0.011	0.011	0.011	-0.011	0.011	0.015	0.011	0.011	-0.014	-0.003	-0.014	-0.014	-0.014	-0.014	0.008	-0.011	0.023*	0.008	0.016	0.008	0.011	0.011	-0.010	0.011	0.001	0.019	-0.011	0.008	-0.025	0.008	0.008	-0.011	0.008	-0.007	0.008	0.015	-0.011	0.031	-0.014	0.011	-0.011	0.015	0.008	0.008	-0.049**	-0.014	-0.011	-0.011	-0.036	0.008	0.008	-0.014	-0.021	0.056	0.015	-0.014	-0.011	-0.014	-0.014	-0.011	-0.007	0.019	0.008	-0.011	0.045	-0.011	0.011	-0.025	-0.011	0.030*	0.011	0.011	-0.010	0.001	0.008		0.473**	0.016	0.088	-0.141	-59.474	-0.783			0.185	-0.157	0.188	0.050	0.249	-0.035	-0.092	0.310	0.139	0.316**	0.102	1.056	1.056	-30.528	0.185	-0.340	-0.155	-0.043	0.125	0.082	1.007	-0.114	0.893	-1.332		-1.332	0.390
			(0.209)	(0.232)	(0.227)		(0.179)	(62.088)	(0.768)			(0.144)	(0.227)	(0.136)	(0.263)	(0.221)	(0.171)	(0.088)	(0.239)	(0.196)	(0.146)	(0.098)	(1.343)	(1.343)	(105.599)	(0.761)	(0.414)	(1.010)	(0.357)	(0.091)	(0.357)	(0.714)	(0.692)	(0.879)	(0.760)		(0.760)	(1.176)	(0.456)	(1.467)	(0.151)		(0.151)				(0.037)	(0.095)	(16.069)	(177.630)	(2.288)			(0.098)	(0.007)					(0.698)	(19.441)	(19.441)	(1.065)	(0.874)	(0.153)	(0.487)	(0.621)	(12.111)	(12.111)	(15.510)	(15.510)	(0.074)	(0.075)	(0.048)	(0.027)	(0.082)	(0.112)	(0.097)	(0.041)	(0.028)	(0.059)				(29.619)				(0.347)	(1.988)	(17.082)	(10.266)	(0.088)	(0.044)	(0.029)	(0.007)	(0.039)	(0.013)	(0.050)	(0.050)	(10.717)	(20.456)	(0.315)	(13.259)	(82.313)	(26.836)	(95.665)	(10.429)	(23.434)	(22.425)	(23.071)	(16.188)	(6.556)	(0.163)	(0.119)	(0.070)	(5.294)	(5.354)	(0.220)	(6.457)	(5.319)			(0.095)	(0.082)	(6.736)	(0.247)	(5.299)	(0.143)	(6.964)	(0.127)		(0.061)	(0.010)	(0.091)	(0.045)	(0.091)	(0.045)	(0.109)	(0.043)	(0.080)	(0.069)	(0.172)	(0.217)	(9.465)	(0.113)	(18.282)	(0.152)	(0.293)	(0.081)	(5.283)	(0.084)	(0.067)	(0.073)	(0.141)	(0.052)	(0.104)	(0.021)	(0.039)	(0.045)	(0.103)	(0.036)	(0.092)	(0.080)	(7.984)	(10.025)	(6.926)	(7.522)	(13.675)	(10.023)	(0.085)	(0.085)	(0.085)	(0.085)			(0.133)	(0.089)	(0.133)	(0.273)	(0.141)	(0.141)	(0.141)	(0.141)	(15.773)	(0.140)	(0.227)	(10.321)	(0.098)	(0.108)	(11.317)	(23.816)	(14.205)	(5.326)	(22.405)	(22.405)	(0.105)	(7.958)	(0.108)	(0.108)	(5.946)	(6.109)	(0.133)	(0.184)	(0.220)	(17.032)	(17.032)	(0.009)	(0.035)	(0.077)	(0.098)	(0.019)	(0.026)	(0.057)	(0.030)	(0.064)	(0.059)	(0.016)	(0.008)	(0.009)	(0.009)	(0.009)	(0.010)	(0.007)	(0.037)	(0.010)	(0.028)	(0.007)	(0.009)	(0.016)	(0.015)	(0.013)	(0.011)	(0.011)	(0.011)	(0.009)	(0.010)	(0.010)	(0.010)	(0.010)	(0.014)	(0.018)	(0.014)	(0.014)	(0.014)	(0.014)	(0.007)	(0.010)	(0.013)	(0.007)	(0.020)	(0.007)	(0.010)	(0.011)	(0.017)	(0.010)	(0.015)	(0.013)	(0.009)	(0.008)	(0.016)	(0.007)	(0.007)	(0.010)	(0.007)	(0.014)	(0.008)	(0.013)	(0.010)	(0.018)	(0.014)	(0.011)	(0.009)	(0.015)	(0.007)	(0.007)	(0.022)	(0.013)	(0.010)	(0.010)	(0.021)	(0.007)	(0.008)	(0.019)	(0.032)	(0.040)	(0.016)	(0.013)	(0.010)	(0.013)	(0.014)	(0.010)	(0.016)	(0.012)	(0.007)	(0.010)	(0.029)	(0.010)	(0.010)	(0.016)	(0.009)	(0.015)	(0.010)	(0.011)	(0.020)	(0.049)	(0.008)		(0.213)	(0.232)	(0.227)	(0.190)	(62.125)	(0.781)			(0.126)	(0.235)	(0.136)	(0.263)	(0.221)	(0.162)	(0.088)	(0.240)	(0.197)	(0.146)	(0.098)	(1.338)	(1.338)	(111.881)	(0.742)	(0.344)	(0.933)	(0.364)	(0.091)	(0.363)	(0.721)	(0.699)	(0.890)	(0.802)		(0.802)	(1.199)
o._cons																																				0.000						0.000			0.000											0.000	0.000	0.000	0.000																							0.000	0.000	0.000																																																																																																																																																																																																																																																																	0.000		
																																				(0.000)						(0.000)			(0.000)											(0.000)	(0.000)	(0.000)	(0.000)																							(0.000)	(0.000)	(0.000)																																																																																																																																																																																																																																																																	(0.000)		
																																																																																																																																																																																																																																																																																																																																																							
Observations		191	191	191	191	191	191	191	191	191	191	191	191	191	101	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	186	186	186	186	191	191	191	191	191	10	10	10	10	191	191	191	191	191	191	191	191	191	191	191	191	80	80	80	80	80	80	80	80	80	80	80	80	80	80	2	2	2	80	80	191	191	191	191	191	191	191	191	191	191	191	191	191	191	168	191	160	191	191	191	191	191	191	191	191	191	191	191	191	191	191	4	4	187	187	191	191	191	191	191	191	4	187	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	4	4	187	187	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	118	118	191	191	55	55	191	170	159	159	159	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	102	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191	191
