		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)	(304)	(305)	(306)	(307)	(308)	(309)	(310)	(311)	(312)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	uniqueid	po_mobnum	po_mobnum_alt	po_age	po_highest_educ	po_highest_educ_os	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	po_birth_village	time_to_last_training	tr_topic	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_os	tr_agency	tr_other_state_police	tr_agency_os	q111filter	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	dv_fewcases	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	random_s8	s8name	s8name_hindi	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	random_dp	random_dptext	random_dptext_hindi	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	discuss_topics_os	bp_effectiveness	transfer_request	same_home_district	actcount	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	po_subcaste	marital_status1	marital_status2	marital_status3	marital_status4	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87	po_subcaste88	po_subcaste89	po_subcaste90	po_subcaste91	po_subcaste92	po_subcaste93	po_subcaste94	po_subcaste95	po_subcaste96	po_subcaste97
																																																																																																																																																																																																																																																																																																																									
T	T	-0.036	0.029	-0.349**	-0.380**		-0.319	-0.360	-0.939*	0.115	0.089	0.269*	-0.004	0.217*	0.380	-0.083	0.090	0.021	0.006	0.038	0.088	0.086	0.257		-131.218*	-0.450		-0.450	0.218	-0.105	0.114	-0.133	-0.316	-0.449	-0.440		-0.440	-2.701*	-0.212	-2.913*	-0.081		-0.081	0.081		0.081	-0.016	0.004	5.922	-7.534	-4.137			-0.140	-0.018	-0.026	-0.026	-0.026	-0.026	0.508	-9.437	-9.437	0.995	1.391*	-0.162	0.672	0.395	7.133	7.133	10.293	10.293	0.100**	-0.021	-0.001	0.020	-0.043	0.039	0.067	-0.031		-0.032				4.688				-0.098	-1.818	0.024	-0.009	10.274	13.885	13.875	13.875	13.877	12.746	-0.048*	-0.048*	0.060	-0.035	0.288	-0.027	36.530	2.607	25.830	-10.348	-6.773	-5.238	-28.046	-6.071	10.241	0.487**	0.104	-0.091	0.052	-6.957	6.790	7.006	5.518	5.518	5.518	0.200**	0.015	0.093	0.103	0.073	0.069	-0.138	0.095	0.095	0.019	0.008	-0.135*	-0.060	0.045	-0.039	-0.142**	0.018	-0.108	0.006	0.186	0.107	0.076	0.125	0.270	-0.011	0.046	0.104	0.074	-0.023	-0.042	0.035	-0.013	0.029	0.044	-0.002	-0.095	-0.003	-0.011	-0.031	-0.139	0.042	-7.048	0.047	-0.132	-0.014	0.086	0.001	0.115	0.115	0.115	0.115	0.115	0.115	0.211**	0.075	0.169	-0.268	0.133	0.133	0.133	0.133	0.044	5.451	0.178	-0.809	0.013	8.118	-6.830	0.010	-6.908	-0.018	-40.094*	-40.094*	0.181*	0.002	-0.237*	-0.237*	0.083	5.698	0.092	-0.121	-0.029	14.006	14.006	-0.031	0.010	0.010	0.010	-0.021	0.010	0.006	-0.090	0.095	0.010	-0.008	0.008	-0.008	-0.010	-0.010	-0.008	0.010	0.010	-0.006	-0.010	-0.010	-0.008	0.010	0.064*	0.013	-0.010	0.027*	-0.008	-0.008	-0.000	-0.010	-0.008	-0.010	-0.008	0.008	-0.008	-0.010	-0.002	0.010	0.018	-0.002	0.021	-0.010	-0.010	-0.010	-0.010	-0.010	-0.008	-0.024*	-0.010	-0.010	0.010	0.008	-0.008	-0.008	0.008	0.010	-0.008	-0.008	-0.010	0.010	-0.010	0.008	-0.008	0.031	-0.010	-0.008	0.008	-0.005	0.016	-0.035*	0.027*	0.010	0.018	-0.010	0.010	-0.008	0.006	0.008	-0.002	-0.010	0.010	-0.010	0.008	0.010	0.039	0.031	-0.008	-0.010	0.008	0.008	-0.008	0.010	-0.008	-0.010	0.010	-0.008	-0.010	-0.008	-0.008	0.008	-0.024	-0.018	-0.009	0.008	0.010
		(0.104)	(0.205)	(0.153)	(0.148)		(0.195)	(0.323)	(0.524)	(0.089)	(0.086)	(0.155)	(0.180)	(0.114)	(0.253)	(0.182)	(0.209)	(0.022)	(0.257)	(0.180)	(0.176)	(0.164)	(1.405)		(72.571)	(0.434)		(0.434)	(0.205)	(0.099)	(0.182)	(2.141)	(0.643)	(2.235)	(0.907)		(0.907)	(1.438)	(0.381)	(1.701)	(0.079)		(0.079)	(0.079)		(0.079)	(0.032)	(0.068)	(16.282)	(7.792)	(3.370)			(0.089)	(0.012)	(0.073)	(0.073)	(0.073)	(0.073)	(0.813)	(8.769)	(8.769)	(0.931)	(0.711)	(0.131)	(0.553)	(0.844)	(15.394)	(15.394)	(10.899)	(10.899)	(0.043)	(0.019)	(0.028)	(0.021)	(0.103)	(0.038)	(0.124)	(0.038)		(0.085)				(28.346)				(0.274)	(1.443)	(0.091)	(0.088)	(10.398)	(9.225)	(9.228)	(9.225)	(9.225)	(16.414)	(0.027)	(0.027)	(10.617)	(0.044)	(0.251)	(0.037)	(53.480)	(16.774)	(96.914)	(10.069)	(6.635)	(11.104)	(18.009)	(5.359)	(9.746)	(0.195)	(0.079)	(0.087)	(0.110)	(6.532)	(6.847)	(6.825)	(4.300)	(4.300)	(4.300)	(0.096)	(0.047)	(0.096)	(0.172)	(0.067)	(0.126)	(0.201)	(0.125)	(0.125)	(0.037)	(0.006)	(0.079)	(0.087)	(0.059)	(0.044)	(0.069)	(0.036)	(0.067)	(0.062)	(0.146)	(0.103)	(0.048)	(0.162)	(0.235)	(0.152)	(0.266)	(0.140)	(0.129)	(0.087)	(0.062)	(0.073)	(0.077)	(0.023)	(0.080)	(0.011)	(0.059)	(0.042)	(0.040)	(0.048)	(0.085)	(0.042)	(6.704)	(0.122)	(0.172)	(0.173)	(0.100)	(0.087)	(0.094)	(0.094)	(0.094)	(0.094)	(0.094)	(0.094)	(0.087)	(0.065)	(0.102)	(0.172)	(0.121)	(0.121)	(0.121)	(0.121)	(0.102)	(5.316)	(0.150)	(10.269)	(0.125)	(10.447)	(6.503)	(0.082)	(6.540)	(0.094)	(22.098)	(22.098)	(0.102)	(0.074)	(0.130)	(0.130)	(0.104)	(4.509)	(0.116)	(0.184)	(0.192)	(18.888)	(18.888)	(0.023)	(0.100)	(0.095)	(0.010)	(0.028)	(0.047)	(0.017)	(0.073)	(0.064)	(0.010)	(0.006)	(0.008)	(0.016)	(0.010)	(0.010)	(0.008)	(0.010)	(0.010)	(0.019)	(0.010)	(0.010)	(0.008)	(0.010)	(0.036)	(0.020)	(0.010)	(0.015)	(0.008)	(0.006)	(0.011)	(0.010)	(0.006)	(0.010)	(0.018)	(0.008)	(0.008)	(0.015)	(0.013)	(0.010)	(0.013)	(0.013)	(0.013)	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)	(0.006)	(0.013)	(0.010)	(0.010)	(0.014)	(0.008)	(0.008)	(0.008)	(0.019)	(0.014)	(0.008)	(0.006)	(0.010)	(0.010)	(0.010)	(0.008)	(0.008)	(0.030)	(0.011)	(0.008)	(0.008)	(0.017)	(0.011)	(0.018)	(0.014)	(0.010)	(0.012)	(0.010)	(0.010)	(0.006)	(0.018)	(0.016)	(0.012)	(0.010)	(0.010)	(0.010)	(0.008)	(0.010)	(0.043)	(0.021)	(0.006)	(0.010)	(0.008)	(0.008)	(0.008)	(0.010)	(0.008)	(0.010)	(0.010)	(0.006)	(0.010)	(0.008)	(0.008)	(0.008)	(0.036)	(0.020)	(0.048)	(0.008)	(0.010)
o.T	T = o,					-																		-			-									-						-			-							-	-																											-		-	-	-		-	-	-																																																																																																																																																																																																																																	
																																																																																																																																																																																																																																																																																																																									
o._cons																								0.000			0.000									0.000						0.000			0.000																																			0.000		0.000	0.000	0.000																																																																																																																																																																																																																																					
																								(0.000)			(0.000)									(0.000)						(0.000)			(0.000)																																			(0.000)		(0.000)	(0.000)	(0.000)																																																																																																																																																																																																																																					
																																																																																																																																																																																																																																																																																																																									
Observations		220	220	220	220	220	220	220	220	220	220	220	220	220	124	220	220	220	220	220	220	220	220	2	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	89	89	89	89	89	89	89	89	89	89	89	89	89	89	2	2	2	89	89	220	220	220	220	220	220	220	220	220	220	220	220	220	220	203	220	186	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	134	134	220	220	76	76	220	209	195	195	195	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220	220
