		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)	(62)	(63)	(64)	(65)	(66)	(67)	(68)	(69)	(70)	(71)	(72)	(73)	(74)	(75)	(76)	(77)	(78)	(79)	(80)	(81)	(82)	(83)	(84)	(85)	(86)	(87)	(88)	(89)	(90)	(91)	(92)	(93)	(94)	(95)	(96)	(97)	(98)	(99)	(100)	(101)	(102)	(103)	(104)	(105)	(106)	(107)	(108)	(109)	(110)	(111)	(112)	(113)	(114)	(115)	(116)	(117)	(118)	(119)	(120)	(121)	(122)	(123)	(124)	(125)	(126)	(127)	(128)	(129)	(130)	(131)	(132)	(133)	(134)	(135)	(136)	(137)	(138)	(139)	(140)	(141)	(142)	(143)	(144)	(145)	(146)	(147)	(148)	(149)	(150)	(151)	(152)	(153)	(154)	(155)	(156)	(157)	(158)	(159)	(160)	(161)	(162)	(163)	(164)	(165)	(166)	(167)	(168)	(169)	(170)	(171)	(172)	(173)	(174)	(175)	(176)	(177)	(178)	(179)	(180)	(181)	(182)	(183)	(184)	(185)	(186)	(187)	(188)	(189)	(190)	(191)	(192)	(193)	(194)	(195)	(196)	(197)	(198)	(199)	(200)	(201)	(202)	(203)	(204)	(205)	(206)	(207)	(208)	(209)	(210)	(211)	(212)	(213)	(214)	(215)	(216)	(217)	(218)	(219)	(220)	(221)	(222)	(223)	(224)	(225)	(226)	(227)	(228)	(229)	(230)	(231)	(232)	(233)	(234)	(235)	(236)	(237)	(238)	(239)	(240)	(241)	(242)	(243)	(244)	(245)	(246)	(247)	(248)	(249)	(250)	(251)	(252)	(253)	(254)	(255)	(256)	(257)	(258)	(259)	(260)	(261)	(262)	(263)	(264)	(265)	(266)	(267)	(268)	(269)	(270)	(271)	(272)	(273)	(274)	(275)	(276)	(277)	(278)	(279)	(280)	(281)	(282)	(283)	(284)	(285)	(286)	(287)	(288)	(289)	(290)	(291)	(292)	(293)	(294)	(295)	(296)	(297)	(298)	(299)	(300)	(301)	(302)	(303)	(304)	(305)	(306)	(307)	(308)	(309)
VARIABLES	LABELS	ps_bathroom	ps_fembathroom	ps_confidential	ps_femconfidential	ps_electricity	ps_fourwheeler	ps_twowheeler	ps_computer	ps_seating	ps_cleaning	ps_water	ps_barrack	ps_fembarrack	ps_suffbarrack	ps_storage	ps_evidence	ps_phone	ps_lockup	ps_femlockup	ps_shelter	ps_femshelter	ps_cctv	ps_new_cctv	ps_fir	po_m_headconstable	po_f_headconstable	po_tot_headconstable	po_m_wtconstable	po_f_wtconstable	po_tot_wtconstable	po_m_constable	po_f_constable	po_tot_constable	po_m_asi	po_f_asi	po_tot_asi	po_m_si	po_f_si	po_tot_si	po_m_ins	po_f_ins	po_tot_ins	po_m_sho	po_f_sho	po_tot_sho	e2latitude	e2longitude	e2altitude	e2accuracy	po_grandtotal	median_officers	above_median_officers	po_rank	ps_confirm	ps_type	uniqueid	po_mobnum	po_mobnum_alt	po_age	po_highest_educ	po_highest_educ_os	bp_years_of_service	bp_months_of_service	ps_years_of_service	ps_months_of_service	po_birth_state	po_birth_district	po_birth_village	time_to_last_training	tr_topic	tr_investigation	tr_communication	tr_personal_dev	tr_mediation	tr_computer_technical	tr_physical	tr_legal	tr_gender	tr_covid	q109__888	tr_dont_know	tr_refused_ans	tr_os	tr_agency	tr_other_state_police	tr_agency_os	q111filter	tr_days_weeks_months	tr_duration	dv1_internal_matter	dv1_common_incident	dv1_fears_beating	dv2_goes_without_informing	dv2_neglects_children	dv2_burns_food	dv2_argues	dv2_refuses_sex	dv_complaint_relative	dv_fewcases	sa_burden_proof	eviction_dv	fem_shelter	verbal_abuse_public	verbal_abuse_ipc	sa_identity_leaked	sa_identity_ipc	land_false	land_compromise	land_false_sa	premarital_false	premarital_socially_unacceptable	premarital_framing	believable_with_relative	fem_cases_overattention	eq_1	eq_2	eq_3	eq_4	eq_5	eq_6	gbv_abusive_beh	gbv_police_help	gbv_abusive_beh_new	gbv_police_help_new	gbv_true	gbv_fem_fault	gbv_empathy	non_gbv_true	non_gbv_fem_fault	non_gbv_empathy	non_gbv_fir	non_gbv_fir_new	pri_1	pri_2	pri_3	pri_4	pri_5	pri_6	pri_7	pri_8	pri_9	openness_1	openness_2	openness_3	openness_4	openness_5	openness_6	openness_7	openness_8	openness_9	sdb_1	sdb_2	sdb_3	sdb_4	sdb_5	sdb_6	sdb_7	sdb_8	sdb_9	sdb_10	sdb_11	sdb_12	sdb_13	gad_1	gad_2	gad_3	gad_4	gad_5	gad_6	gad_7	random_s8	s8name	s8name_hindi	caste_fault	caste_police_help	caste_fault_new	caste_police_help_new	caste_true	caste_framing_man	caste_empathy	random_dp	random_dptext	random_dptext_hindi	phq_1	phq_2	phq_3	phq_4	phq_5	phq_6	phq_7	phq_8	phq_9	discuss_spouse	discuss_topics	discuss_topics_os	bp_effectiveness	transfer_request	same_home_district	actcount	po_marital_status	if_children	num_sons	num_daughters	tot_num_children	po_caste	po_subcaste	marital_status1	marital_status2	marital_status3	marital_status4	caste1	caste2	caste3	caste4	caste5	po_subcaste1	po_subcaste2	po_subcaste3	po_subcaste4	po_subcaste5	po_subcaste6	po_subcaste7	po_subcaste8	po_subcaste9	po_subcaste10	po_subcaste11	po_subcaste12	po_subcaste13	po_subcaste14	po_subcaste15	po_subcaste16	po_subcaste17	po_subcaste18	po_subcaste19	po_subcaste20	po_subcaste21	po_subcaste22	po_subcaste23	po_subcaste24	po_subcaste25	po_subcaste26	po_subcaste27	po_subcaste28	po_subcaste29	po_subcaste30	po_subcaste31	po_subcaste32	po_subcaste33	po_subcaste34	po_subcaste35	po_subcaste36	po_subcaste37	po_subcaste38	po_subcaste39	po_subcaste40	po_subcaste41	po_subcaste42	po_subcaste43	po_subcaste44	po_subcaste45	po_subcaste46	po_subcaste47	po_subcaste48	po_subcaste49	po_subcaste50	po_subcaste51	po_subcaste52	po_subcaste53	po_subcaste54	po_subcaste55	po_subcaste56	po_subcaste57	po_subcaste58	po_subcaste59	po_subcaste60	po_subcaste61	po_subcaste62	po_subcaste63	po_subcaste64	po_subcaste65	po_subcaste66	po_subcaste67	po_subcaste68	po_subcaste69	po_subcaste70	po_subcaste71	po_subcaste72	po_subcaste73	po_subcaste74	po_subcaste75	po_subcaste76	po_subcaste77	po_subcaste78	po_subcaste79	po_subcaste80	po_subcaste81	po_subcaste82	po_subcaste83	po_subcaste84	po_subcaste85	po_subcaste86	po_subcaste87	po_subcaste88	po_subcaste89	po_subcaste90	po_subcaste91	po_subcaste92	po_subcaste93	po_subcaste94
																																																																																																																																																																																																																																																																																																																						
T	T	0.077	0.142	0.093	0.093		-0.138	0.031	0.441	-0.051		-0.079	0.051	-0.047	0.036	-0.148	0.312*		-0.017	-0.017	-0.224	-0.224	-0.193		200.205**	0.146		0.146	0.013	-0.079	-0.066	0.720	-0.023	0.696	0.268	-0.077	0.190	1.548	0.042	1.591							-0.069	-0.006	-0.668	4.017	2.557			-0.082		-0.154*	-0.154*	-0.154*	-0.154*	0.189	1.186	1.186	-0.860	-0.653	0.388	-0.600	-0.239	-4.040	-4.040	5.495	5.495	-0.110	0.027	-0.022	-0.003	-0.115	-0.021	0.053	0.024		0.167**				0.080				-0.066	-0.118	-4.830	-8.569	-4.805	0.019	-0.007	-0.010	-5.759	5.691	0.006	0.006	0.325*	5.196	-7.521	0.011	-5.941	17.026	-50.025	18.507	0.260	9.113	1.357	13.747	7.316	-0.359	-0.058	0.037	-0.091	-0.136	-5.810	-0.140	-0.353	-0.353	-0.353	0.002	0.047	-0.065	-0.107	-0.158	0.189	-0.490**	-0.045	-0.045	-0.000	-0.009	0.186***	0.000	0.051	0.004	0.000	0.039	0.168*	0.143*	-0.272	-0.125	6.703	0.144	-0.122	0.258	-0.115	-0.017	0.114	-0.044	0.000	0.071	0.050	-0.003	-0.125	-0.007	0.025	0.064**	-0.023	0.049	0.108	-0.022	0.413***	0.058	0.158	0.022	-0.038	0.150	0.255**	0.255**	0.255**	0.255**	0.255**	0.255**	0.206***	0.043	-0.131	0.129	-0.199*	-0.199*	-0.199*	-0.199*	-8.504	0.222*	-0.140	5.744	0.109	-11.417	5.798	-1.465	-2.828	-0.076	13.905	13.905	0.001	-0.040	-0.105	-0.105	-0.045	6.768	-0.142	0.048	-0.094	2.960	2.960	0.020	-0.021	0.009	-0.009	-0.004	-0.084	-0.005	0.063	0.031	0.007	0.007	0.016	0.009	0.034	0.022*	0.007	-0.009	0.009	0.009	-0.010	-0.011	-0.010	-0.009	-0.009	-0.009	-0.011	0.016	0.007	-0.010	-0.011	-0.003	0.030**	-0.009	0.022	-0.009	0.013	-0.010	-0.011	-0.009	-0.010	-0.009	-0.009	0.006	-0.001	0.007	-0.013	0.009	-0.011	-0.009	0.009	0.007	-0.010	0.014	0.007	0.007	0.007	0.014*	0.007	-0.010	-0.003	-0.001	-0.009	-0.009	-0.009	-0.010	-0.003	-0.018	0.007	0.007	-0.001	0.007	0.009	-0.010	0.007	0.009	0.007	0.007	-0.001	0.009	0.009	0.007	0.009	-0.074	-0.001	-0.009	0.023*	-0.009	-0.010	0.002	-0.049	-0.009	0.007	0.009	-0.009	0.009	-0.010	-0.010	0.007	-0.020*	-0.010	-0.009	0.067**	0.011
		(0.096)	(0.192)	(0.199)	(0.199)		(0.214)	(0.310)	(0.581)	(0.139)		(0.077)	(0.192)	(0.201)	(0.191)	(0.201)	(0.163)		(0.123)	(0.123)	(0.184)	(0.173)	(1.361)		(90.748)	(0.299)		(0.299)	(0.197)	(0.140)	(0.260)	(2.153)	(0.970)	(2.273)	(0.579)	(0.131)	(0.598)	(1.514)	(0.371)	(1.465)							(0.050)	(0.047)	(15.873)	(4.374)	(3.582)			(0.074)		(0.088)	(0.088)	(0.088)	(0.088)	(0.939)	(9.820)	(9.820)	(1.296)	(0.544)	(0.333)	(0.550)	(0.552)	(9.673)	(9.673)	(5.504)	(5.504)	(0.085)	(0.057)	(0.022)	(0.032)	(0.093)	(0.149)	(0.105)	(0.022)		(0.060)				(0.075)				(0.277)	(1.547)	(4.589)	(8.611)	(4.584)	(0.018)	(0.023)	(0.010)	(5.584)	(5.532)	(0.034)	(0.034)	(0.162)	(9.607)	(6.918)	(0.058)	(57.875)	(18.815)	(97.373)	(11.555)	(0.394)	(8.350)	(17.897)	(8.202)	(6.371)	(0.289)	(0.087)	(0.139)	(0.209)	(0.208)	(5.438)	(0.231)	(0.274)	(0.274)	(0.274)	(0.111)	(0.052)	(0.155)	(0.243)	(0.130)	(0.141)	(0.199)	(0.065)	(0.065)	(0.096)	(0.008)	(0.059)	(0.070)	(0.054)	(0.041)	(0.057)	(0.040)	(0.088)	(0.072)	(0.162)	(0.112)	(6.443)	(0.153)	(0.217)	(0.171)	(0.283)	(0.119)	(0.134)	(0.069)	(0.061)	(0.110)	(0.060)	(0.022)	(0.099)	(0.013)	(0.037)	(0.029)	(0.038)	(0.061)	(0.099)	(0.045)	(0.145)	(0.079)	(0.125)	(0.192)	(0.097)	(0.090)	(0.100)	(0.100)	(0.100)	(0.100)	(0.100)	(0.100)	(0.055)	(0.047)	(0.114)	(0.164)	(0.099)	(0.099)	(0.099)	(0.099)	(8.122)	(0.118)	(0.126)	(5.460)	(7.426)	(12.101)	(5.452)	(9.121)	(9.435)	(0.085)	(14.401)	(14.401)	(0.102)	(0.077)	(0.128)	(0.128)	(0.081)	(6.506)	(0.107)	(0.148)	(0.175)	(10.639)	(10.639)	(0.022)	(0.047)	(0.049)	(0.018)	(0.016)	(0.051)	(0.020)	(0.055)	(0.071)	(0.007)	(0.007)	(0.011)	(0.009)	(0.023)	(0.012)	(0.006)	(0.008)	(0.008)	(0.008)	(0.010)	(0.021)	(0.010)	(0.008)	(0.008)	(0.008)	(0.021)	(0.038)	(0.007)	(0.010)	(0.019)	(0.012)	(0.013)	(0.008)	(0.018)	(0.008)	(0.023)	(0.010)	(0.018)	(0.008)	(0.009)	(0.008)	(0.008)	(0.015)	(0.017)	(0.006)	(0.020)	(0.009)	(0.015)	(0.009)	(0.009)	(0.007)	(0.010)	(0.014)	(0.007)	(0.007)	(0.007)	(0.008)	(0.006)	(0.010)	(0.011)	(0.011)	(0.008)	(0.008)	(0.008)	(0.010)	(0.011)	(0.013)	(0.007)	(0.006)	(0.013)	(0.006)	(0.008)	(0.010)	(0.006)	(0.008)	(0.007)	(0.006)	(0.013)	(0.009)	(0.008)	(0.007)	(0.009)	(0.054)	(0.013)	(0.009)	(0.011)	(0.008)	(0.010)	(0.033)	(0.052)	(0.008)	(0.007)	(0.009)	(0.008)	(0.008)	(0.009)	(0.010)	(0.007)	(0.012)	(0.009)	(0.008)	(0.030)	(0.040)
o.T	T = o,					-					-							-						-			-														-	-	-	-	-	-						-	-		-																									-		-	-	-		-	-	-																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																																																																																						
o._cons																											0.000														0.000	0.000	0.000		0.000																																			0.000		0.000	0.000	0.000																																																																																																																																																																																																																																		
																											(0.000)														(0.000)	(0.000)	(0.000)		(0.000)																																			(0.000)		(0.000)	(0.000)	(0.000)																																																																																																																																																																																																																																		
																																																																																																																																																																																																																																																																																																																						
Observations		237	237	237	237	237	237	237	237	237	237	237	237	237	173	237	237	237	237	237	237	237	237	9	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	230	230	230	230	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	80	80	80	80	80	80	80	80	80	80	80	80	80	80	3	3	3	80	80	237	237	237	237	237	237	237	237	237	237	237	237	237	237	214	237	207	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	131	131	237	237	77	77	237	228	215	215	215	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237	237
